segment_id,order_in_segment,segment_type,segment_label,image_id,source_dataset,image_key,image_path,gt_sign,gt_meter,gt_curb_color,dominant_color,cue_pool
seg_00000,0,none,0,mtsd_NqDnJ7yE1RHcPHyecyq5kQ,MTSD,NqDnJ7yE1RHcPHyecyq5kQ,/Users/chiragjain/Downloads/mtsd_project/data/images/train/NqDnJ7yE1RHcPHyecyq5kQ.jpg,0,0,0,,none_candidate
seg_00000,1,none,0,mtsd_QK2or2gNPo0B1lG4o-iLfw,MTSD,QK2or2gNPo0B1lG4o-iLfw,/Users/chiragjain/Downloads/mtsd_project/data/images/train/QK2or2gNPo0B1lG4o-iLfw.jpg,0,0,0,,none_candidate
seg_00000,2,none,0,mtsd_Tcezkv-tH2JN3CJLpSp8ew,MTSD,Tcezkv-tH2JN3CJLpSp8ew,/Users/chiragjain/Downloads/mtsd_project/data/images/train/Tcezkv-tH2JN3CJLpSp8ew.jpg,0,0,0,,none_candidate
seg_00000,3,none,0,mtsd_BPcBJjWuTGFuasasxFDvfA,MTSD,BPcBJjWuTGFuasasxFDvfA,/Users/chiragjain/Downloads/mtsd_project/data/images/train/BPcBJjWuTGFuasasxFDvfA.jpg,0,0,0,,none_candidate
seg_00000,4,none,0,mtsd_1mbOdN35QEmwD3tJ-AYiwg,MTSD,1mbOdN35QEmwD3tJ-AYiwg,/Users/chiragjain/Downloads/mtsd_project/data/images/train/1mbOdN35QEmwD3tJ-AYiwg.jpg,0,0,0,,none_candidate
seg_00001,0,none,0,mtsd_2Jiqk5mEH-UNzW2zxD_jOA,MTSD,2Jiqk5mEH-UNzW2zxD_jOA,/Users/chiragjain/Downloads/mtsd_project/data/images/train/2Jiqk5mEH-UNzW2zxD_jOA.jpg,0,0,0,,none_candidate
seg_00001,1,none,0,vistas_bt6RTOT7WhWdpki0UiIzsA,Vistas,bt6RTOT7WhWdpki0UiIzsA,/Users/chiragjain/Downloads/Mapillary_Vistas_Dataset/kaggle_meter_eval_upload/validation/images/bt6RTOT7WhWdpki0UiIzsA.jpg,0,0,0,,none_candidate
seg_00001,2,none,0,mtsd_2XdmqVh0Pc_gCIWMaPLMrQ,MTSD,2XdmqVh0Pc_gCIWMaPLMrQ,/Users/chiragjain/Downloads/mtsd_project/data/images/train/2XdmqVh0Pc_gCIWMaPLMrQ.jpg,0,0,0,,none_candidate
seg_00001,3,none,0,mtsd_9TXDiIPAGYO4WkwXFfmtlA,MTSD,9TXDiIPAGYO4WkwXFfmtlA,/Users/chiragjain/Downloads/mtsd_project/data/images/train/9TXDiIPAGYO4WkwXFfmtlA.jpg,0,0,0,,none_candidate
seg_00001,4,none,0,mtsd_j1XRoaquZ5WmPXKHyNGIkA,MTSD,j1XRoaquZ5WmPXKHyNGIkA,/Users/chiragjain/Downloads/mtsd_project/data/images/train/j1XRoaquZ5WmPXKHyNGIkA.jpg,0,0,0,,none_candidate
seg_00002,0,none,0,mtsd_L67jjlr4BHwKsSu5ux4VKA,MTSD,L67jjlr4BHwKsSu5ux4VKA,/Users/chiragjain/Downloads/mtsd_project/data/images/train/L67jjlr4BHwKsSu5ux4VKA.jpg,0,0,0,,none_candidate
seg_00002,1,none,0,mtsd_NXv1FH83iQ34PsfInzYVnQ,MTSD,NXv1FH83iQ34PsfInzYVnQ,/Users/chiragjain/Downloads/mtsd_project/data/images/train/NXv1FH83iQ34PsfInzYVnQ.jpg,0,0,0,,none_candidate
seg_00002,2,none,0,mtsd_yuSBRRglHerdomU0iAJ0hQ,MTSD,yuSBRRglHerdomU0iAJ0hQ,/Users/chiragjain/Downloads/mtsd_project/data/images/train/yuSBRRglHerdomU0iAJ0hQ.jpg,0,0,0,,none_candidate
seg_00002,3,none,0,mtsd_x7BeGnpzC8abs341Vj_xBQ,MTSD,x7BeGnpzC8abs341Vj_xBQ,/Users/chiragjain/Downloads/mtsd_project/data/images/train/x7BeGnpzC8abs341Vj_xBQ.jpg,0,0,0,,none_candidate
seg_00002,4,none,0,mtsd_imqMQzaXisGdA-aioV7UUg,MTSD,imqMQzaXisGdA-aioV7UUg,/Users/chiragjain/Downloads/mtsd_project/data/images/train/imqMQzaXisGdA-aioV7UUg.jpg,0,0,0,,none_candidate
seg_00003,0,none,0,mtsd_MzH4vvnMOtIZVq09XdKgVA,MTSD,MzH4vvnMOtIZVq09XdKgVA,/Users/chiragjain/Downloads/mtsd_project/data/images/train/MzH4vvnMOtIZVq09XdKgVA.jpg,0,0,0,,none_candidate
seg_00003,1,none,0,mtsd__vygdwhwFand53a3FuYMXg,MTSD,_vygdwhwFand53a3FuYMXg,/Users/chiragjain/Downloads/mtsd_project/data/images/train/_vygdwhwFand53a3FuYMXg.jpg,0,0,0,,none_candidate
seg_00003,2,none,0,mtsd_GJIxpOq9AxElU4queBQUuw,MTSD,GJIxpOq9AxElU4queBQUuw,/Users/chiragjain/Downloads/mtsd_project/data/images/train/GJIxpOq9AxElU4queBQUuw.jpg,0,0,0,,none_candidate
seg_00003,3,none,0,mtsd_j7QOx0PkIv1Sjpe7vyGx3A,MTSD,j7QOx0PkIv1Sjpe7vyGx3A,/Users/chiragjain/Downloads/mtsd_project/data/images/train/j7QOx0PkIv1Sjpe7vyGx3A.jpg,0,0,0,,none_candidate
seg_00003,4,none,0,mtsd_Tx9S0_NwQJ-ZwR50PWdKWw,MTSD,Tx9S0_NwQJ-ZwR50PWdKWw,/Users/chiragjain/Downloads/mtsd_project/data/images/train/Tx9S0_NwQJ-ZwR50PWdKWw.jpg,0,0,0,,none_candidate
