segment_id,segment_label,segment_type,sign_max,sign_mean,sign_count_015,sign_noisy_or,meter_max,meter_mean,meter_count_01,meter_noisy_or,curb_max,curb_mean,curb_count_02,curb_noisy_or,combined_score
seg_00000,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.3346994535519125,0.12673261188002596,1,0.5175136012413066,0.133879781420765
seg_00001,0,none,0.0,0.0,0,0.0,0.1617311090230941,0.03234622180461882,1,0.16173110902309407,0.0888513513513513,0.04038743208380914,0,0.18912514322110874,0.09703866541385646
seg_00002,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.3162955465587044,0.07772636248867146,1,0.3657521736893553,0.12651821862348175
seg_00003,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.9675721204464096,0.19831791753906355,1,0.9683509559815395,0.38702884817856387
seg_00004,0,none,0.1392503529787063,0.0453105181455612,0,0.214395723305413,0.0,0.0,0,0.0,0.2916666666666667,0.11116607242205405,2,0.4699361658596699,0.1392503529787063
seg_00005,0,none,0.5010128617286682,0.11905997246503827,1,0.5480608623325147,0.0,0.0,0,0.0,0.8635375923511517,0.29586686807850127,2,0.9406617365063279,0.5010128617286682
seg_00006,0,none,0.2663268148899078,0.06380189731717108,1,0.30497867843318305,0.0,0.0,0,0.0,0.5816993464052288,0.18063999029758468,2,0.7161832596424345,0.2663268148899078
seg_00007,0,none,0.3131232559680938,0.06262465119361876,1,0.31312325596809387,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.3131232559680938
seg_00008,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.1128358208955223,0.02256716417910446,0,0.11283582089552224,0.04513432835820892
seg_00009,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0698561784561197,0.013971235691223941,0,0.06985617845611969,0.027942471382447882
seg_00010,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4586614173228346,0.1328115261163913,1,0.5635054966002664,0.18346456692913385
seg_00011,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.1446504441869447,0.04534306037941408,0,0.2148445837771623,0.057860177674777885
seg_00012,0,none,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.1122148067670339,0.02686416398202508,0,0.13173552318267123,0.04488592270681356
seg_00013,0,none,0.1499180644750595,0.05984202623367309,0,0.27682855348822355,0.0,0.0,0,0.0,0.12128,0.06650082970673848,0,0.29453842473598346,0.1499180644750595
seg_00014,0,none,0.3947376608848572,0.07894753217697144,1,0.3947376608848572,0.0,0.0,0,0.0,0.059262510974539,0.014492253747702822,0,0.07167907721167621,0.3947376608848572
